id,name,popularity,artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,genre,
68eq9TwlS3mLo087cXwCS7,Phantogram Freestyle,0,A$AP Rocky,0.5670,0.836,0.316,0.439,0,0.679,0.716,east coast hip hop,
6ouN78qXBfy4V3HaTaXKAL,Spelling Bee,0,Kevin Hart,0.6820,0.593,0.942,0.816,0,0.768,0.301,comedy,
0xm8PZb1D5YFpLJBLZXQYg,My Dad Was On Drugs,0,Kevin Hart,0.7400,0.554,0.944,0.751,0,0.689,0.378,comedy,
3ic2TvJV4NoVyu0JRkQGFd,Financial Lane,0,Kevin Hart,0.6940,0.532,0.886,0.768,0,0.0689,0.361,comedy,
67pepxJfauIrTZtXPOHH0C,Cousin Al,0,Kevin Hart,0.7150,0.512,0.926,0.719,0,0.748,0.459,comedy,
2Qyvf1zsXgJdrw2TDvBcsd,Daughter's Birthday Party,0,Kevin Hart,0.6240,0.595,0.953,0.723,0,0.578,0.325,comedy,
0GBpUn4BTShmFYx1lzY171,Mothers Club,0,George Carlin,0.6100,0.556,0.96,0.905,0,0.672,0.682,comedy,
3cIdJjZclr2fbKs4mbeSts,Killer Carlin,0,George Carlin,0.6620,0.811,0.913,0.873,0,0.675,0.633,comedy,
5mAd6Qbv9DuwXsMUJkuWKq,Capt. Jack & Jolly George,0,George Carlin,0.6880,0.806,0.905,0.949,0,0.693,0.618,comedy,
5DuxYjcuebFPontojL1NEE,War Pictures,0,George Carlin,0.6110,0.546,0.961,0.921,0,0.147,0.505,comedy,
5BCVprFLAdAEnt9QY2OUmE,The Cool World,0,George Carlin,0.6450,0.525,0.874,0.971,0.0000174,0.728,0.345,comedy,
5egzDyab2mEVulm0HjVOvK,You Too & Stuff,0,Brian Regan,0.5570,0.635,0.887,0.794,0.00000288,0.921,0.213,comedy,
0IdkGJ69GdLqytpL2y9dfR,Hooked On Phonix,0,Brian Regan,0.4450,0.543,0.938,0.807,0.0000013,0.67,0.356,comedy,
3h4xu8KZCQBRrnrDbg2yyL,Stupid In School,0,Brian Regan,0.5120,0.518,0.921,0.794,0,0.681,0.278,comedy,
4QnLEwmk9lLp4WqFWMfP4F,Crank Calls,0,Brian Regan,0.6120,0.501,0.936,0.8,0.00000321,0.781,0.464,comedy,
1Gko03WF6z738BGLclrPuU,Lousy In Little League,0,Brian Regan,0.5380,0.444,0.903,0.826,0,0.946,0.334,comedy,
1N68eQ79H3eL9AcIT3zJT4,Chinese Restaurants,0,Pablo Francisco,0.5730,0.519,0.938,0.774,0,0.499,0.492,comedy,
1AmF73CGvmTQrVM9TV7ODs,Telemundo,0,Pablo Francisco,0.4400,0.675,0.929,0.82,0.0000316,0.947,0.297,comedy,
2BQ8Ob4NDF1ujukRTHwSSK,Mentos,0,Pablo Francisco,0.6390,0.524,0.937,0.846,0,0.884,0.888,comedy,
0UgBYgUZwWwHlDq4njcKYK,Intro,0,Pablo Francisco,0.4480,0.698,0.949,0.836,0,0.963,0.295,comedy,
5CvwnHAM8Gmdj6YRdgHFKE,Cloud 9,0,EXO,0.8010,0.726,0.0751,0.15,0,0.325,0.534,k-pop,
2FDLCVX6la1aFBBszid04c,Twenty Four,0,EXO,0.7790,0.811,0.0676,0.213,0,0.0901,0.306,k-pop,
7BuVbxOynraSTEG3beWxu9,Let Out the Beast,0,EXO,0.7670,0.867,0.0533,0.101,0.000399,0.0885,0.885,k-pop,
