id,name,popularity,artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,genre
5p7ujcrUXASCNwRaWNHR1C,Without Me,94,Halsey,0.752,0.488,0.0705,0.297,0.00000911,0.0936,0.533,dance pop
1A6OTy97kk0mMdm78rHsm8,Sunflower - Spider-Man: Into the Spider-Verse,92,Post Malone,0.757,0.501,0.0466,0.541,0,0.0718,0.91,dance pop
7jr3iPu4O4bTCVwLMbdU2i,Kiss and Make Up,88,Dua Lipa,0.678,0.729,0.137,0.0658,0,0.303,0.643,dance pop
4T3fNx3CgwDRRYgmFCbD4J,Better,94,Khalid,0.442,0.585,0.0964,0.0984,0.391,0.14,0.116,dance pop
116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake),97,Bad Bunny,0.818,0.54,0.0544,0.0143,0.000512,0.099,0.174,dance pop
6QfS2wq5sSC1xAJCQsTSlj,Shallow - Radio Edit,88,Lady Gaga,0.575,0.33,0.031,0.416,0,0.0872,0.277,dance pop
25sgk305KZfyuqVBQIahim,Sweet but Psycho,90,Ava Max,0.719,0.704,0.0476,0.0691,0,0.166,0.628,dance pop
6xtcFXSo8H9BZN637BMVKS,Let You Love Me,91,Rita Ora,0.531,0.854,0.198,0.288,0,0.0773,0.456,dance pop
2dpaYNEQHiRxtZbfNsse99,Happier,99,Marshmello,0.687,0.792,0.0452,0.191,0,0.167,0.671,dance pop
6SkHm6poyKfzV6kc9any8k,Suncity (feat. Empress Of),84,Khalid,0.694,0.63,0.162,0.0998,0.000635,0.12,0.341,dance pop
15kQGEy89K8deJcZVFEn0N,This Feeling,92,The Chainsmokers,0.575,0.571,0.0439,0.0558,0,0.0912,0.449,dance pop
2hnxrRNzF74mdDzpQZQukQ,There's No Way (feat. Julia Michaels),88,Lauv,0.755,0.625,0.0896,0.49,0,0.157,0.374,dance pop
5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),97,Calvin Harris,0.781,0.768,0.0394,0.0119,0.00000491,0.325,0.486,dance pop
6rrTr2HEAzlpC4KWZxF3S1,Woman Like Me (feat. Nicki Minaj),88,Little Mix,0.757,0.849,0.0536,0.173,0,0.0878,0.826,dance pop
1ArLnG0bHaHPXqf08sEKM0,Consequences - orchestra,83,Camila Cabello,0.547,0.289,0.0348,0.645,0,0.148,0.213,dance pop
5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,84,Zara Larsson,0.665,0.699,0.0578,0.423,0,0.0969,0.585,dance pop
1N7YeVU0ZwAFbOhwM61ef6,Head Above Water,86,Avril Lavigne,0.578,0.694,0.0706,0.0112,0,0.102,0.268,dance pop
5N4erncE7kuUccm7zEmwzk,Electricity (with Dua Lipa),94,Silk City,0.588,0.67,0.0473,0.0104,0.00000333,0.338,0.505,dance pop
0Dn40gxVCMo5TkgS8Ik18Q,Falling Down,97,Lil Peep,0.669,0.574,0.0286,0.0175,0.00294,0.146,0.273,dance pop
05mAIVLkIWc2d1UBYZBCp8,1999,84,Charli XCX,0.739,0.742,0.0329,0.0227,0.00000139,0.229,0.659,dance pop
2rbDhOo9Fh61Bbu23T2qCk,Always Remember Us This Way,83,Lady Gaga,0.553,0.502,0.0409,0.299,0,0.764,0.296,dance pop
7l3E7lcozEodtVsSTCkcaA,ZEZE (feat. Travis Scott & Offset),95,Kodak Black,0.826,0.615,0.219,0.071,0,0.0965,0.543,dance pop
4zIO3ilp5HvTeK3HJHxhMP,Natural,94,Imagine Dragons,0.448,0.612,0.0708,0.216,0,0.08,0.213,dance pop
6jreFSOTUAViWjKyzOC4Kg,REMEDY,89,Alesso,0.601,0.775,0.0473,0.269,0,0.0883,0.483,dance pop
14JzyD6FlBD5z0wV5P07YI,when the party's over,88,Billie Eilish,0.498,0.104,0.0621,0.979,0.0000786,0.0895,0.205,dance pop
1wsLHgXJ4SKIfd5ePSX1hD,Polaroid,83,Jonas Blue,0.652,0.897,0.036,0.293,0,0.0722,0.475,dance pop
4VUwkH455At9kENOfzTqmF,Beautiful (feat. Camila Cabello),93,Bazzi,0.638,0.717,0.0337,0.346,0,0.105,0.249,dance pop
5Xn4IyTtW6FUGIUyWjbUHG,Goodbye (feat. Nicki Minaj & Willy William),90,Jason Derulo,0.643,0.904,0.0739,0.0776,0,0.189,0.481,dance pop
0qbfdprRS71e9up5pOmbQo,Trust My Lonely,78,Alessia Cara,0.583,0.662,0.156,0.00541,0.00000196,0.284,0.636,dance pop
3EPXxR3ImUwfayaurPi3cm,Be Alright,96,Dean Lewis,0.553,0.586,0.0362,0.697,0,0.0813,0.443,dance pop
4J4zx8xGJpuGndrVc06KaT,Diamond Heart,86,Alan Walker,0.499,0.638,0.0438,0.129,0,0.631,0.253,dance pop
2JqnpexlO9dmvjUMCaLCLJ,Love Someone,88,Lukas Graham,0.55,0.415,0.052,0.161,0,0.108,0.274,dance pop
6X6SdJzxyw7GzxwP2fr9WV,All I Am,87,Jess Glynne,0.74,0.669,0.0373,0.0445,0,0.184,0.536,dance pop
0QIjsbm2fh1cJ45XO9eGqq,Wake Up in the Sky,91,Gucci Mane,0.8,0.578,0.0485,0.00381,0,0.359,0.367,dance pop
2jZIfoe48eUeOEnP9Ho4h2,No One Compares To You,76,Jack & Jack,0.703,0.748,0.0435,0.123,0,0.0642,0.625,dance pop
5HeKOKc4phmLn8e4I7EkzD,My Blood,85,Twenty One Pilots,0.749,0.723,0.0432,0.0563,0.022,0.0977,0.674,dance pop
04MLEeAMuV9IlHEsD8vF6A,No Stylist,91,French Montana,0.765,0.704,0.127,0.0215,0,0.227,0.498,dance pop
1ZuH6byJDLmuWjqSCv7Wz2,Love No More,66,Loud Luxury,0.765,0.672,0.0538,0.0205,0.0000592,0.258,0.222,dance pop
7d6XJZjnm7iWcKwYL9z5kC,Noticed,90,Lil Mosey,0.699,0.558,0.0603,0.462,0,0.116,0.493,dance pop
1l9G7M8gNyQsgOGWZGoQsT,Look What I Found,78,Lady Gaga,0.849,0.493,0.0417,0.456,0.000463,0.133,0.447,dance pop
33zcmmElV1YbRZe57biUjg,Celoso,87,Lele Pons,0.746,0.703,0.107,0.352,0,0.331,0.667,dance pop
3ngc7rGlfeFaskU90EWl4R,You Say,83,Lauren Daigle,0.494,0.637,0.0333,0.669,0,0.0882,0.1,dance pop
1BxkZE73h9BN3qwuA15TA3,Drip Too Hard,91,Lil Baby,0.9,0.653,0.289,0.0945,0,0.528,0.399,dance pop
0YammaEkYSeo9vQYZ1OwS6,Say My Name,85,David Guetta,0.703,0.66,0.123,0.137,0,0.192,0.79,dance pop
7noud145AHZGg74vpWOsCa,Trip,83,Ella Mai,0.717,0.605,0.075,0.214,0,0.138,0.387,dance pop
3edzl4zvKFi0D3iuF6cs2f,PASS OUT (feat. 21 Savage),85,Quavo,0.917,0.786,0.208,0.0403,0,0.195,0.441,dance pop
1gnwGVoG7V08vMX3hyr90x,Tints (feat. Kendrick Lamar),82,Anderson .Paak,0.798,0.867,0.12,0.101,0,0.0634,0.668,dance pop
575NJxNUVDqwJGdzBrlLbv,Lost In Japan - Remix,85,Shawn Mendes,0.694,0.852,0.257,0.0882,0,0.334,0.377,dance pop
3QybPutx0Tjk472bBKjNWn,Mo Bamba,87,Sheck Wes,0.738,0.629,0.0495,0.268,0.00114,0.163,0.319,dance pop
2NRGaA1GyCmTYfm2GRPkUe,Fine China,81,Future,0.656,0.542,0.323,0.0484,0,0.106,0.551,dance pop
3m2aDCqn8eT5ElXDUiboGU,Get Dripped (feat. Playboi Carti),80,Lil Yachty,0.955,0.492,0.395,0.0987,0,0.417,0.904,dance pop
6gzIcEUuswJQGfJNPYMjjv,Hard Work Pays Off,81,Future,0.736,0.482,0.196,0.327,0,0.229,0.608,dance pop
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,97,Travis Scott,0.834,0.73,0.222,0.00513,0,0.124,0.446,dance pop
1Jl21sidRpEdlVBvYbssLx,Sin (feat. Jaden Smith),85,Young Thug,0.889,0.385,0.165,0.00544,0,0.274,0.235,dance pop
1jQvUmf16VE9WQCPuK2e8K,STOOPID,90,6ix9ine,0.733,0.63,0.395,0.13,0,0.162,0.832,dance pop
5vDvBD3ReINP8dXUplj477,Leave Me Alone,65,Flipp Dinero,0.792,0.743,0.0851,0.107,0,0.183,0.742,dance pop
