id,name,popularity,artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,genre
3LtnXdDD9VFBtHy5kmGILx,As I Am,70,H.E.R.,0.5470,0.564,0.291,0.0895,0.00000102,0.152,0.179,indie r&b,
3jagJCUbdqhDSPuxP8cAqF,Work It,70,Missy Elliott,0.8840,0.677,0.283,0.0778,0,0.0732,0.584,dance pop,
3lh3iiiJeiBXHSZw6u0kh6,Into The Mystic,70,Van Morrison,0.6080,0.524,0.0309,0.367,0.00254,0.115,0.797,classic rock,
4mJDfMcT7odIUjWlb2WO4L,...Baby One More Time - Recorded at Spotify Studios NYC,70,Ed Sheeran,0.7920,0.307,0.0522,0.189,0,0.0834,0.631,pop,
4tYokojnBEp5pBWO7wTRPA,Let It Go - James Bay Spotify Session 2015,71,James Bay,0.5000,0.213,0.0462,0.879,0.00000737,0.721,0.37,neo mellow,
5xTtaWoae3wi06K5WfVUUH,Shake It Off,71,Taylor Swift,0.6480,0.785,0.165,0.0561,0,0.148,0.943,dance pop,
1N62wozuHCvczCkY4QidpP,Over My Head (Cable Car),71,The Fray,0.5920,0.729,0.0448,0.022,0,0.0653,0.709,modern rock,
0eqH0ALoDQevq59YcQ53KE,Hollaback Girl,71,Gwen Stefani,0.9260,0.916,0.0929,0.35,0.00000617,0.0234,0.904,dance pop,
5R9a4t5t5O0IsznsrKPVro,Single Ladies (Put a Ring on It),71,Beyoncé,0.4260,0.584,0.296,0.0383,0,0.188,0.272,dance pop,
1oHClQEgDmmbcEx12Kc5nZ,4 Minutes (feat. Justin Timberlake & Timbaland),71,Madonna,0.7530,0.931,0.0652,0.00994,0.00696,0.234,0.767,dance pop,
6fgbQt13JlpN59PytgTMsA,Snow (Hey Oh),71,Red Hot Chili Peppers,0.4270,0.9,0.0499,0.116,0.0000175,0.119,0.599,alternative rock,
2VX37A1p7tkvrH2UJwAU0T,Desperate Man,71,Eric Church,0.7110,0.796,0.0341,0.0716,0.0045,0.262,0.901,contemporary country,
6Q6pcWl4SZmI5G21PIhKUG,Make It Sweet,71,Old Dominion,0.5390,0.859,0.0399,0.0317,0,0.102,0.456,contemporary country,
446Jufq5oOCwOSXbkqq5yD,Bring It On Over,71,Billy Currington,0.7050,0.761,0.0298,0.00385,0,0.186,0.819,canadian contemporary country,
6VcXUV6nNDhFHDxJbtNSWx,Love Wins,71,Carrie Underwood,0.5230,0.865,0.0989,0.0112,0,0.153,0.325,contemporary country,
68lDOwyMitLVn7fuZD1ggl,One Shot,71,Hunter Hayes,0.6880,0.757,0.0612,0.0523,0,0.0902,0.941,canadian contemporary country,
2XeZi7qwChzLOt32tsoPXV,Gaze,71,Moux,0.5740,0.0577,0.0393,0.991,0.912,0.111,0.0849,focus,
4xfCXK9eixyPpn9SWbvPog,Remove The Complexities,71,Peter Sandberg,0.2350,0.111,0.0323,0.987,0.949,0.122,0.104,compositional ambient,
3toYHht60pj16nNK0e2HZy,Norrsken,71,Karin Borg,0.2780,0.0434,0.0383,0.98,0.919,0.121,0.0397,unknown,
5jxBweBbPFg53Ozudm6HrC,Faded Dreams,71,Aaron Lansing,0.4290,0.0107,0.074,0.994,0.967,0.136,0.142,unknown,
